"","Price"
"9/26/2023 0:00","26217.38"
"9/25/2023 0:00","26308.45"
"9/24/2023 0:00","26254.11"
"9/23/2023 0:00","26580.66"
"9/22/2023 0:00","26577.61"
"9/21/2023 0:00","26556.98"
"9/20/2023 0:00","27121.84"
"9/19/2023 0:00","27211.2"
"9/18/2023 0:00","26738.74"
"9/17/2023 0:00","26531.4"
"9/16/2023 0:00","26553.13"
"9/15/2023 0:00","26627.69"
"9/14/2023 0:00","26528.22"
"9/13/2023 0:00","26222.02"
"9/12/2023 0:00","25854.29"
"9/11/2023 0:00","25143.63"
"9/10/2023 0:00","25841.65"
"9/9/2023 0:00","25893.13"
"9/8/2023 0:00","25910.51"
"9/7/2023 0:00","26200.96"
"9/6/2023 0:00","25771.63"
"9/5/2023 0:00","25788.7"
"9/4/2023 0:00","25824.15"
"9/3/2023 0:00","25980.6"
"9/2/2023 0:00","25856.93"
"9/1/2023 0:00","25816.57"
"8/31/2023 0:00","25936.45"
"8/30/2023 0:00","27316.23"
"8/29/2023 0:00","27718.23"
"8/28/2023 0:00","26127.89"
"8/27/2023 0:00","26088.38"
"8/26/2023 0:00","26021.02"
"8/25/2023 0:00","26058.22"
"8/24/2023 0:00","26141.53"
"8/23/2023 0:00","26417.4"
"8/22/2023 0:00","26048.09"
"8/21/2023 0:00","26123.45"
"8/20/2023 0:00","26180"
"8/19/2023 0:00","26090.63"
"8/18/2023 0:00","26058.26"
"8/17/2023 0:00","26610.04"
"8/16/2023 0:00","28736.49"
"8/15/2023 0:00","29200.8"
"8/14/2023 0:00","29430.95"
"8/13/2023 0:00","29285.11"
"8/12/2023 0:00","29430.07"
"8/11/2023 0:00","29426.01"
"8/10/2023 0:00","29455.74"
"8/9/2023 0:00","29596.9"
"8/8/2023 0:00","29766.72"
"8/7/2023 0:00","29206.01"
"8/6/2023 0:00","29086.65"
"8/5/2023 0:00","29074.55"
"8/4/2023 0:00","29113.38"
"8/3/2023 0:00","29198.33"
"8/2/2023 0:00","29151.7"
"8/1/2023 0:00","29629.24"
"7/31/2023 0:00","29225.93"
"7/30/2023 0:00","29273.9"
"7/29/2023 0:00","29356.22"
"7/28/2023 0:00","29318.62"
"7/27/2023 0:00","29209.65"
"7/26/2023 0:00","29349.52"
"7/25/2023 0:00","29242.03"
"7/24/2023 0:00","29186.08"
"7/23/2023 0:00","30060.75"
"7/22/2023 0:00","29747.98"
"7/21/2023 0:00","29907.92"
"7/20/2023 0:00","29796.85"
"7/19/2023 0:00","29932.56"
"7/18/2023 0:00","29845.47"
"7/17/2023 0:00","30158.01"
"7/16/2023 0:00","30221.07"
"7/15/2023 0:00","30275.68"
"7/14/2023 0:00","30305.65"
"7/13/2023 0:00","31446.3"
"7/12/2023 0:00","30383.85"
"7/11/2023 0:00","30621.56"
"7/10/2023 0:00","30398.1"
"7/9/2023 0:00","30164.49"
"7/8/2023 0:00","30269.02"
