,Price
2023/10/08 00:00:00,27932.440
2023/10/07 00:00:00,27958.620
2023/10/06 00:00:00,27933.000
2023/10/05 00:00:00,27422.600
2023/10/04 00:00:00,27778.600
2023/10/03 00:00:00,27419.230
2023/10/02 00:00:00,27609.130
2023/10/01 00:00:00,27978.100
2023/09/30 00:00:00,26967.110
2023/09/29 00:00:00,26910.690
2023/09/28 00:00:00,27020.310
2023/09/27 00:00:00,26368.040
2023/09/26 00:00:00,26217.380
2023/09/25 00:00:00,26308.450
2023/09/24 00:00:00,26254.110
2023/09/23 00:00:00,26580.660
2023/09/22 00:00:00,26577.610
2023/09/21 00:00:00,26556.980
2023/09/20 00:00:00,27121.840
2023/09/19 00:00:00,27211.200
2023/09/18 00:00:00,26738.740
2023/09/17 00:00:00,26531.400
2023/09/16 00:00:00,26553.130
2023/09/15 00:00:00,26627.690
2023/09/14 00:00:00,26528.220
2023/09/13 00:00:00,26222.020
2023/09/12 00:00:00,25854.290
2023/09/11 00:00:00,25143.630
2023/09/10 00:00:00,25841.650
2023/09/09 00:00:00,25893.130
2023/09/08 00:00:00,25910.510
2023/09/07 00:00:00,26200.960
2023/09/06 00:00:00,25771.630
2023/09/05 00:00:00,25788.700
2023/09/04 00:00:00,25824.150
2023/09/03 00:00:00,25980.600
2023/09/02 00:00:00,25856.930
2023/09/01 00:00:00,25816.570
2023/08/31 00:00:00,25936.450
2023/08/30 00:00:00,27316.230
2023/08/29 00:00:00,27718.230
2023/08/28 00:00:00,26127.890
2023/08/27 00:00:00,26088.380
2023/08/26 00:00:00,26021.020
2023/08/25 00:00:00,26058.220
2023/08/24 00:00:00,26141.530
2023/08/23 00:00:00,26417.400
2023/08/22 00:00:00,26048.090
2023/08/21 00:00:00,26123.450
2023/08/20 00:00:00,26180.000
2023/08/19 00:00:00,26090.630
2023/08/18 00:00:00,26058.260
2023/08/17 00:00:00,26610.040
2023/08/16 00:00:00,28736.490
2023/08/15 00:00:00,29200.800
2023/08/14 00:00:00,29430.950
2023/08/13 00:00:00,29285.110
2023/08/12 00:00:00,29430.070
2023/08/11 00:00:00,29426.010
2023/08/10 00:00:00,29455.740
2023/08/09 00:00:00,29596.900
2023/08/08 00:00:00,29766.720
2023/08/07 00:00:00,29206.010
2023/08/06 00:00:00,29086.650
2023/08/05 00:00:00,29074.550
2023/08/04 00:00:00,29113.380
2023/08/03 00:00:00,29198.330
2023/08/02 00:00:00,29151.700
2023/08/01 00:00:00,29629.240
2023/07/31 00:00:00,29225.930
2023/07/30 00:00:00,29273.900
2023/07/29 00:00:00,29356.220
2023/07/28 00:00:00,29318.620
2023/07/27 00:00:00,29209.650
2023/07/26 00:00:00,29349.520
2023/07/25 00:00:00,29242.030
2023/07/24 00:00:00,29186.080
2023/07/23 00:00:00,30060.750
2023/07/22 00:00:00,29747.980
2023/07/21 00:00:00,29907.920
2023/07/20 00:00:00,29796.850
2023/07/19 00:00:00,29932.560
2023/07/18 00:00:00,29845.470
2023/07/17 00:00:00,30158.010
2023/07/16 00:00:00,30221.070
2023/07/15 00:00:00,30275.680
2023/07/14 00:00:00,30305.650
2023/07/13 00:00:00,31446.300
2023/07/12 00:00:00,30383.850
2023/07/11 00:00:00,30621.560
2023/07/10 00:00:00,30398.100
2023/07/09 00:00:00,30164.490
2023/07/08 00:00:00,30269.020
2023/07/07 00:00:00,30320.040
2023/07/06 00:00:00,29970.050
2023/07/05 00:00:00,30502.920
2023/07/04 00:00:00,30771.960
2023/07/03 00:00:00,31154.040
2023/07/02 00:00:00,30623.760
2023/07/01 00:00:00,30589.050
2023/06/30 00:00:00,30492.030
2023/06/29 00:00:00,30459.100
2023/06/28 00:00:00,30084.010
2023/06/27 00:00:00,30709.780
2023/06/26 00:00:00,30273.800
2023/06/25 00:00:00,30457.700
2023/06/24 00:00:00,30540.550
2023/06/23 00:00:00,30605.590
2023/06/22 00:00:00,29903.560
2023/06/21 00:00:00,30059.710
2023/06/20 00:00:00,28371.020
2023/06/19 00:00:00,26781.820
2023/06/18 00:00:00,26339.430
2023/06/17 00:00:00,26520.010
2023/06/16 00:00:00,26342.590
2023/06/15 00:00:00,25585.430
2023/06/14 00:00:00,25119.910
2023/06/13 00:00:00,25910.030
2023/06/12 00:00:00,25887.590
2023/06/11 00:00:00,25920.860
2023/06/10 00:00:00,25842.840
2023/06/09 00:00:00,26489.460
2023/06/08 00:00:00,26493.460
2023/06/07 00:00:00,26359.590
2023/06/06 00:00:00,27200.040
2023/06/05 00:00:00,25730.520
2023/06/04 00:00:00,27104.410
2023/06/03 00:00:00,27060.800
2023/06/02 00:00:00,27232.850
2023/06/01 00:00:00,26806.980
2023/05/31 00:00:00,27225.770
2023/05/30 00:00:00,27682.800
2023/05/29 00:00:00,27742.370
2023/05/28 00:00:00,28100.310
2023/05/27 00:00:00,26850.790
2023/05/26 00:00:00,26703.210
2023/05/25 00:00:00,26474.020
2023/05/24 00:00:00,26336.630
2023/05/23 00:00:00,27222.750
2023/05/22 00:00:00,26851.390
2023/05/21 00:00:00,26751.470
2023/05/20 00:00:00,27110.530
2023/05/19 00:00:00,26866.880
2023/05/18 00:00:00,26837.940
2023/05/17 00:00:00,27402.680
2023/05/16 00:00:00,27025.770
2023/05/15 00:00:00,27192.170
2023/05/14 00:00:00,26906.170
2023/05/13 00:00:00,26789.060
2023/05/12 00:00:00,26791.960
2023/05/11 00:00:00,27002.280
2023/05/10 00:00:00,27624.540
2023/05/09 00:00:00,27636.660
2023/05/08 00:00:00,27692.990
2023/05/07 00:00:00,28443.050
2023/05/06 00:00:00,28864.280
2023/05/05 00:00:00,29529.670
2023/05/04 00:00:00,28820.660
2023/05/03 00:00:00,28998.800
2023/05/02 00:00:00,28639.580
2023/05/01 00:00:00,28084.460
2023/04/30 00:00:00,29310.540
2023/04/29 00:00:00,29216.770
2023/04/28 00:00:00,29327.110
2023/04/27 00:00:00,29467.270
2023/04/26 00:00:00,28376.590
2023/04/25 00:00:00,28326.830
2023/04/24 00:00:00,27529.200
2023/04/23 00:00:00,27588.570
2023/04/22 00:00:00,27820.650
2023/04/21 00:00:00,27274.500
2023/04/20 00:00:00,28267.170
2023/04/19 00:00:00,28804.980
2023/04/18 00:00:00,30366.570
2023/04/17 00:00:00,29413.960
2023/04/16 00:00:00,30304.875
2023/04/15 00:00:00,30297.831
2023/04/14 00:00:00,30478.292
2023/04/13 00:00:00,30359.581
2023/04/12 00:00:00,29877.418
2023/04/11 00:00:00,30230.073
2023/04/10 00:00:00,29609.828
2023/04/09 00:00:00,28321.862
2023/04/08 00:00:00,27934.037
2023/04/07 00:00:00,27902.258
2023/04/06 00:00:00,28019.740
2023/04/05 00:00:00,28176.389
2023/04/04 00:00:00,28149.681
2023/04/03 00:00:00,27761.459
2023/04/02 00:00:00,28188.180
2023/04/01 00:00:00,28464.814
2023/03/31 00:00:00,28467.197
2023/03/30 00:00:00,28031.595
2023/03/29 00:00:00,28370.769
2023/03/28 00:00:00,27259.221
2023/03/27 00:00:00,27157.570
2023/03/26 00:00:00,27983.589
2023/03/25 00:00:00,27464.613
2023/03/24 00:00:00,27415.934
2023/03/23 00:00:00,28318.219
